2025-06-26 20:05:14.522212 | ID: 401 | class: chair | x: 0 | y: 224
2025-06-26 20:05:16.114970 | ID: 403 | class: chair | x: 0 | y: 225
2025-06-26 20:05:17.257894 | ID: 404 | class: chair | x: 0 | y: 225
2025-06-26 20:05:19.721860 | ID: 405 | class: chair | x: 0 | y: 225
2025-06-26 20:05:21.003235 | ID: 406 | class: chair | x: 0 | y: 224
2025-06-26 20:05:22.789567 | ID: 407 | class: chair | x: 0 | y: 224
2025-06-26 20:05:23.864191 | ID: 408 | class: chair | x: 0 | y: 224
2025-06-26 20:05:31.208213 | ID: 409 | class: chair | x: 0 | y: 224
2025-06-26 20:05:36.508851 | ID: 410 | class: chair | x: 0 | y: 225
2025-06-26 20:05:37.302637 | ID: 411 | class: chair | x: 0 | y: 224
2025-06-26 20:05:44.221227 | ID: 412 | class: chair | x: 0 | y: 224
2025-06-26 20:05:52.829063 | ID: 413 | class: chair | x: 0 | y: 224
2025-06-26 20:05:53.750164 | ID: 414 | class: chair | x: 0 | y: 223
2025-06-26 20:05:54.262899 | ID: 415 | class: chair | x: 0 | y: 224
2025-06-26 20:05:56.352569 | ID: 417 | class: chair | x: 0 | y: 224
2025-06-26 20:06:05.849547 | ID: 421 | class: chair | x: 0 | y: 224
2025-06-26 20:06:09.287414 | ID: 424 | class: chair | x: 0 | y: 224
2025-06-26 20:06:10.171602 | ID: 426 | class: chair | x: 0 | y: 224
2025-06-26 20:06:13.726101 | ID: 428 | class: chair | x: 0 | y: 223
2025-06-26 20:06:14.601178 | ID: 430 | class: chair | x: 0 | y: 224
2025-06-26 20:06:16.121880 | ID: 431 | class: chair | x: 0 | y: 223
2025-06-26 20:06:18.527205 | ID: 433 | class: chair | x: 0 | y: 224
2025-06-26 20:06:28.751564 | ID: 441 | class: chair | x: 0 | y: 224
2025-06-26 20:06:30.277113 | ID: 443 | class: chair | x: 0 | y: 224
2025-06-26 20:06:31.293817 | ID: 444 | class: chair | x: 0 | y: 224
2025-06-26 20:06:34.081934 | ID: 447 | class: chair | x: 0 | y: 224
2025-06-26 20:06:34.690153 | ID: 448 | class: chair | x: 0 | y: 224
2025-06-26 20:06:49.055625 | ID: 450 | class: chair | x: 0 | y: 220
2025-06-26 20:06:50.336319 | ID: 452 | class: chair | x: 0 | y: 221
2025-06-26 20:06:52.147455 | ID: 453 | class: chair | x: 0 | y: 221
2025-06-26 20:06:53.374041 | ID: 454 | class: chair | x: 0 | y: 221
